カテゴリ,質問,回答欄,選択肢/補足,必須
■ 基本情報,会社名・店舗名,,,必須
■ 基本情報,業種,,美容室 / 整体・治療院 / EC・D2C / スクール・教室 / 士業 / 飲食店 / その他,必須
■ 基本情報,担当者名・役職,,,必須
■ 基本情報,連絡先（電話・メール）,,,必須
■ 基本情報,エリア（商圏）,,例: 東京都渋谷区 / オンライン全国,
■ 基本情報,店舗数,,例: 1店舗 / 3店舗,
■ 基本情報,客単価,,例: 6000円 / 月額9800円,
■ 基本情報,主力商品・サービス,,一番売りたいもの・利益率の高いもの,必須
■ 基本情報,決裁者は誰か,,例: 本人 / 社長 / 役員会,必須
■ 現状のLINE,LINE公式アカウントの有無,,あり / なし / 開設したが放置,必須
■ 現状のLINE,友だち数,,例: 320人,必須
■ 現状のLINE,月間配信数,,例: 月2回 / ほぼ未配信,
■ 現状のLINE,開封・クリックの体感,,良い / 普通 / 悪い / わからない,
■ 現状のLINE,ブロック率,,例: 高い気がする / 不明,
■ 現状のLINE,利用中ツール,,なし / Lステップ / エルメ / その他,必須
■ 現状のLINE,誰が・週何時間運用しているか,,例: 店長が週3時間 / 誰もやれていない,必須
■ 集客・流入,友だち追加の導線,,店頭QR / Web / 広告 / 紹介 / なし（複数可）,必須
■ 集客・流入,月間の新規友だち数,,例: 月20人,
■ 集客・流入,流入を計測しているか,,している / していない / 不明,
■ 集客・流入,既存の広告出稿,,Meta / Google / チラシ / なし（複数可）,
■ 目標・KPI,解決したい課題,,自由記述（最重要）,必須
■ 目標・KPI,達成したいこと,,新規集客 / リピート / 客単価UP / 予約数UP（複数可）,必須
■ 目標・KPI,数値目標,,例: 月の予約を30→50件,
■ 目標・KPI,期限,,例: 3ヶ月以内,
■ 商品・オファー設計,主力商品と価格,,,必須
■ 商品・オファー設計,クーポン・特典の有無,,あり（内容: ） / なし,
■ 商品・オファー設計,予約の仕組み,,電話 / Web予約 / なし,必須
■ 商品・オファー設計,リピート施策の有無,,回数券 / スタンプカード / 会員証 / なし（複数可）,
■ 運用体制・素材,提供可能な素材,,写真 / メニュー表 / 料金表 / ロゴ（複数可）,必須
■ 運用体制・素材,トンマナ（雰囲気）,,例: 親しみやすく / 高級感 / カジュアル,
■ 運用体制・素材,NGワード・禁止表現,,例: 「治る」は使えない（薬機法）,
■ 運用体制・素材,既存の文章資産,,あり（共有方法: ） / なし,
■ 運用体制・素材,個別返信を誰が対応するか,,店舗側 / L-port / 自動返信のみ,必須
■ 技術・認証情報（Day2-3用）,LINE公式アカウントの権限委譲可否,,可 / 要確認 / 不可,必須
■ 技術・認証情報（Day2-3用）,Messaging API利用可否,,可 / 要確認 / 不明,必須
■ 技術・認証情報（Day2-3用）,既存ツールの解約予定,,あり（時期: ） / なし / 並走したい,
■ 技術・認証情報（Day2-3用）,決済（Stripe）連携の要否,,要 / 不要 / 検討中,
■ 競合・差別化,競合店,,,
■ 競合・差別化,自店の強み,,,必須
■ 競合・差別化,客層,,例: 30-40代女性 / 地元のファミリー,
■ 契約・進行,希望プラン,,"A-Lite ¥19,800 / A-Standard ¥49,800 / A-Pro ¥99,800 / 未定",必須
■ 契約・進行,開始希望時期,,例: 今月中 / 来月 / 未定,必須
■ 契約・進行,懸念点・不安なこと,,自由記述,
